SIID,simvar,periodRatio,mutualHill,durationRatio,a1,a2,e1,e2,i1,i2,m1,m2,b1,b2,argPeri1,argPeri2,longAscNode1,longAscNode2
1202.0,1.0,7.20108206,59.0928791,0.66234385,0.04973,0.18545,0.13862,0.01126,0.08636,0.05089,2.72455,4.7178,0.63961,0.00977,0.90489,5.66301,1.30406,-1.95241
1203.0,1.0,3.81965735,48.83099756,1.01642176,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.13319,0.51833,0.90489,6.10835,1.30406,2.80714
1212.0,1.0,7.20108206,59.0928791,0.61363813,0.04973,0.18545,0.13862,0.01126,0.08636,0.05089,2.72455,4.7178,0.76981,0.55779,0.90489,5.66301,1.30406,-1.95241
1212.0,1.0,2.05058853,22.90970202,0.96990176,0.18545,0.29933,0.01126,0.00818,0.05089,0.07967,4.7178,3.8968,0.55779,0.53316,5.66301,3.29734,-1.95241,0.39279
1266.0,1.0,7.20108206,59.0928791,0.39186346,0.04973,0.18545,0.13862,0.01126,0.08636,0.05089,2.72455,4.7178,0.85678,0.38307,0.90489,5.66301,1.30406,-1.95241
1282.0,1.0,1.98106402,24.40332619,2.50162511,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.35671,0.92698,0.90489,1.19362,1.30406,-0.71314
1286.0,1.0,3.81965735,48.83099756,0.94548481,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.4233,0.53908,0.90489,6.10835,1.30406,2.80714
1290.0,1.0,1.98106402,24.40332619,1.23842262,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.24505,0.50438,0.90489,1.19362,1.30406,-0.71314
1350.0,1.0,1.98106402,24.40332619,3.21829155,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.01636,0.9508,0.90489,1.19362,1.30406,-0.71314
1350.0,1.0,7.45380064,60.10028525,0.23890965,0.07845,0.29933,0.12528,0.00818,0.11682,0.07967,3.46032,3.8968,0.9508,0.08852,1.19362,3.29734,-0.71314,0.39279
1390.0,1.0,3.81965735,48.83099756,0.76947233,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.71911,0.64823,0.90489,6.10835,1.30406,2.80714
1396.0,1.0,1.98106402,24.40332619,0.18773028,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.95061,0.10862,0.90489,1.19362,1.30406,-0.71314
1396.0,1.0,1.92808375,23.97749473,1.21383556,0.07845,0.12152,0.12528,0.13405,0.11682,0.07367,3.46032,2.33135,0.10862,0.01805,1.19362,6.10835,-0.71314,2.80714
