SIID,simvar,transMult,a,e,i,m,rad,probDetect
683.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
683.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
687.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
687.0,1.0,2.0,0.29933,0.00818,0.07967,3.8968,1.7667985,0.0
725.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
725.0,1.0,2.0,0.18545,0.01126,0.05089,4.7178,1.99736416,0.0
730.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
730.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
737.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
737.0,1.0,2.0,0.18545,0.01126,0.05089,4.7178,1.99736416,0.0
741.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
741.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
754.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
760.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
790.0,1.0,3.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
790.0,1.0,3.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
790.0,1.0,3.0,0.29933,0.00818,0.07967,3.8968,1.7667985,0.0
796.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
796.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
800.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
821.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
837.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
837.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
839.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
841.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
841.0,1.0,2.0,0.18545,0.01126,0.05089,4.7178,1.99736416,0.0
846.0,1.0,4.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
846.0,1.0,4.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
846.0,1.0,4.0,0.18545,0.01126,0.05089,4.7178,1.99736416,0.0
846.0,1.0,4.0,0.56174,0.05245,0.02106,5.08025,2.09960723,0.0
862.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
870.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
870.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
884.0,1.0,3.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
884.0,1.0,3.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
884.0,1.0,3.0,0.18545,0.01126,0.05089,4.7178,1.99736416,0.0
896.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
899.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
908.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
912.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
913.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
913.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
914.0,1.0,3.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
914.0,1.0,3.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
914.0,1.0,3.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
973.0,1.0,4.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
973.0,1.0,4.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
973.0,1.0,4.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
973.0,1.0,4.0,0.56174,0.05245,0.02106,5.08025,2.09960723,0.0
976.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
976.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
997.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
998.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
998.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1000.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1000.0,1.0,2.0,0.56174,0.05245,0.02106,5.08025,2.09960723,0.0
1019.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1021.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1023.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1041.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
