stokesnum,a,e,i,node,peri,M,P,f,mass,PlanetNum,mrRad_ChenKipping
2.6000000000000002e-05,0.11604,0.01984003,0.01041069,-0.7071343000000001,1.9407470000000002,2.064931,0.03952846,0.8611279000000001,1.9046770000000002e-06,59.0,0.8993253261034572
2.6000000000000002e-05,0.1595969,0.04079241,0.04039769,2.918982,2.866736,2.01553,0.06375797,2.5590509999999997,2.578624e-06,80.0,0.9859420008531239
2.6000000000000002e-05,0.24977359999999998,0.03221989,0.02248248,2.040061,4.190366,4.194459999999999,0.1248294,4.190679,3.889336e-06,105.0,1.0830274327867087
2.6000000000000002e-05,0.37888740000000004,0.04687207,0.06308109,0.05581433,5.337874,6.2229980000000005,0.2332179,0.9012244,1.5305500000000001e-06,151.0,0.8278190991374841
2.6000000000000002e-05,0.4586973,0.0193,0.04921697,-1.123864,0.6637555,5.474517,0.31065970000000004,5.921136,1.693364e-06,188.0,0.8572894954708303
2.6000000000000002e-05,0.6357541,0.03865771,0.01140717,2.502031,2.789361,5.5685970000000005,0.5069087999999999,0.2993918,3.16159e-06,177.0,1.0097505627751533
2.6000000000000002e-05,0.7807019000000001,0.03927422,0.09238239,-0.2867421,2.168165,1.80436,0.6898001,6.199765,1.354146e-06,205.0,0.813682056582747
2.6000000000000002e-05,1.031258,0.10243730000000001,0.035515,-2.9392419999999997,2.988241,1.4166530000000002,1.047239,1.572191,1.535417e-06,212.0,0.8310549251551816
2.6000000000000002e-05,1.64346,0.2961829,0.14522000000000002,1.629034,3.195332,4.5786430000000005,2.106851,5.817189,1.340145e-07,238.0,0.4148975167954171
2.8499999999999998e-05,0.05861045,0.09644841,0.1096538,-2.124066,1.568768,1.3499780000000001,0.01418933,2.079653,3.3202190000000003e-06,0.0,1.038598513498575
2.8499999999999998e-05,0.09536644,0.04239017,0.05025925,-2.163822,1.4732809999999998,1.640323,0.02945044,2.390111,3.970335e-06,27.0,1.0895608202053064
2.8499999999999998e-05,0.1635068,0.0077302659999999995,0.09483468,0.6642893,4.310734,1.410526,0.0661152,2.7249779999999997,4.246737e-06,77.0,1.1099881165748466
2.8499999999999998e-05,0.254371,0.1589834,0.06532694,2.501968,4.843041,0.18384029999999998,0.1282916,5.128826,3.023696e-06,121.0,1.0204784553126816
2.8499999999999998e-05,0.408905,0.02405934,0.07894965,0.8861737,0.2793303,0.3077818,0.2614746,5.388347,4.377145e-06,132.0,1.1006274304796604
2.8499999999999998e-05,0.6511340999999999,0.01963588,0.10819549999999999,-1.950779,4.153097,5.892055,0.5254125,3.669695,2.6291120000000003e-06,189.0,0.9759608464279639
2.8499999999999998e-05,0.9618247,0.05513152,0.02938515,-2.363729,6.1701809999999995,4.361343,0.943277,0.6165491,2.4101449999999998e-06,177.0,0.9463099182755621
2.8499999999999998e-05,1.518946,0.2628707,0.0844531,1.858004,2.684666,5.653322,1.87201,1.635886,5.956365e-07,231.0,0.6549554433664679
2.8499999999999998e-05,1.993375,0.5052259,0.219948,-0.1302099,0.8614731,3.6072919999999997,2.81435,3.040088,1.668045e-07,246.0,0.4485652700188675
3.13e-05,0.05661015,0.12466189999999999,0.11093940000000001,-1.043657,3.7107699999999997,1.833867,0.01346917,5.245378,1.9819059999999998e-06,0.0,0.8829971776680001
3.13e-05,0.08464484,0.06448705,0.04478745,-0.9088867,3.119831,4.498883999999999,0.02462631,2.380116,4.089166e-06,16.0,1.0918319228547855
3.13e-05,0.13758800000000002,0.005128907,0.04544641,-2.0173200000000002,0.2935693,1.268616,0.05103504,2.993882,4.33105e-06,55.0,1.132049065922395
3.13e-05,0.2077627,0.04754211,0.03271821,2.166776,6.006962000000001,3.7159449999999996,0.09469968,1.915929,2.390541e-06,101.0,0.9498501158582908
3.13e-05,0.3150318,0.07130271,0.005204721,-3.0033119999999998,4.25389,1.183934,0.1768184,6.206123000000001,3.732215e-06,125.0,1.0741022931356365
3.13e-05,0.4471143,0.06658145,0.01415396,-1.131262,4.77374,2.868624,0.2989678,5.410552,2.809794e-06,123.0,0.9871031294159992
3.13e-05,0.663868,0.05993145,0.05461996,1.9578470000000001,0.6348874,5.317497,0.5409007,2.770156,4.041262e-06,166.0,1.0925210857523255
3.13e-05,0.9396992000000001,0.09789646,0.07035768,0.5380963000000001,0.8722385,5.038956,0.9109149999999999,3.5460540000000003,1.642714e-06,195.0,0.8554396676152491
3.13e-05,1.389286,0.09873466,0.09076832,-2.0903509999999996,3.789628,5.089114,1.637502,3.346535,8.454958000000001e-07,221.0,0.7010008252351339
3.43e-05,0.06237805,0.0046326959999999995,0.04899954,2.527806,5.824458,0.08105882,0.01557927,4.286714,2.054734e-06,0.0,0.907867968305113
3.43e-05,0.07835668,0.05452198,0.04120404,-0.9669949000000001,4.914084,3.7380730000000004,0.02193377,6.049933,1.690335e-06,18.0,0.8651478412385549
3.43e-05,0.1037338,0.04006266,0.02203938,2.567243,5.881975,2.8829860000000003,0.03341016,0.771638,3.425062e-06,33.0,1.0456673855749024
3.43e-05,0.1432932,0.01646596,0.026588599999999997,-0.9044935,2.328288,3.642299,0.05424203,2.244441,2.2515e-06,65.0,0.9308116892039111
3.43e-05,0.1880166,0.02626665,0.009668698,-0.7837972,1.070114,3.446281,0.08152527,3.1590290000000003,2.118208e-06,63.0,0.9127797966620601
3.43e-05,0.24808320000000003,0.04510564,0.003218145,0.5239889,0.4069934,0.12117460000000001,0.12356410000000001,5.405465,2.865982e-06,103.0,0.9725817078303787
3.43e-05,0.33751590000000004,0.009839545,0.02899936,-0.06723586,1.67885,2.488154,0.1960823,0.8917832,2.7511040000000003e-06,96.0,1.0209137770370997
