SIID,simvar,transMult
4050.0,1.14543998,3.0
4054.0,1.14543998,1.0
4059.0,1.14543998,1.0
4085.0,1.14543998,2.0
4090.0,1.14543998,2.0
4096.0,1.14543998,2.0
4097.0,1.14543998,1.0
4119.0,1.14543998,1.0
4135.0,1.14543998,1.0
4138.0,1.14543998,1.0
4174.0,1.14543998,1.0
4179.0,1.14543998,2.0
4203.0,1.14543998,1.0
4211.0,1.14543998,1.0
4212.0,1.14543998,1.0
4223.0,1.14543998,1.0
4233.0,1.14543998,2.0
4234.0,1.14543998,1.0
4235.0,1.14543998,1.0
4239.0,1.14543998,1.0
4251.0,1.14543998,2.0
4253.0,1.14543998,1.0
4255.0,1.14543998,1.0
4257.0,1.14543998,2.0
4258.0,1.14543998,3.0
4266.0,1.14543998,1.0
4272.0,1.14543998,1.0
4274.0,1.14543998,1.0
4285.0,1.14543998,1.0
4343.0,1.14543998,1.0
4345.0,1.14543998,1.0
4358.0,1.14543998,1.0
4407.0,1.14543998,1.0
4426.0,1.14543998,2.0
4431.0,1.14543998,1.0
4432.0,1.14543998,1.0
4433.0,1.14543998,2.0
4437.0,1.14543998,1.0
4450.0,1.14543998,2.0
4461.0,1.14543998,2.0
4462.0,1.14543998,1.0
4463.0,1.14543998,1.0
4480.0,1.14543998,2.0
4493.0,1.14543998,1.0
4499.0,1.14543998,1.0
4508.0,1.14543998,2.0
4521.0,1.14543998,1.0
4528.0,1.14543998,2.0
4543.0,1.14543998,1.0
4546.0,1.14543998,1.0
4554.0,1.14543998,1.0
4570.0,1.14543998,2.0
4615.0,1.14543998,1.0
4640.0,1.14543998,1.0
4642.0,1.14543998,3.0
4646.0,1.14543998,1.0
4654.0,1.14543998,1.0
4701.0,1.14543998,1.0
4702.0,1.14543998,1.0
4721.0,1.14543998,2.0
4739.0,1.14543998,1.0
4741.0,1.14543998,1.0
4747.0,1.14543998,1.0
4781.0,1.14543998,1.0
4802.0,1.14543998,1.0
4822.0,1.14543998,1.0
4823.0,1.14543998,2.0
4834.0,1.14543998,1.0
4839.0,1.14543998,2.0
4841.0,1.14543998,2.0
4845.0,1.14543998,1.0
4867.0,1.14543998,1.0
4870.0,1.14543998,1.0
4876.0,1.14543998,1.0
4877.0,1.14543998,1.0
4886.0,1.14543998,1.0
4896.0,1.14543998,1.0
4929.0,1.14543998,2.0
4975.0,1.14543998,1.0
4976.0,1.14543998,1.0
4990.0,1.14543998,1.0
5022.0,1.14543998,1.0
5039.0,1.14543998,1.0
5050.0,1.14543998,1.0
5059.0,1.14543998,1.0
5060.0,1.14543998,3.0
5068.0,1.14543998,2.0
5069.0,1.14543998,2.0
5105.0,1.14543998,1.0
5114.0,1.14543998,1.0
5120.0,1.14543998,1.0
5146.0,1.14543998,1.0
5203.0,1.14543998,1.0
5223.0,1.14543998,1.0
5240.0,1.14543998,1.0
5247.0,1.14543998,2.0
5253.0,1.14543998,1.0
5287.0,1.14543998,3.0
5291.0,1.14543998,2.0
5295.0,1.14543998,1.0
5304.0,1.14543998,1.0
5306.0,1.14543998,2.0
5314.0,1.14543998,1.0
5338.0,1.14543998,1.0
5341.0,1.14543998,2.0
5417.0,1.14543998,1.0
5429.0,1.14543998,2.0
5437.0,1.14543998,1.0
5448.0,1.14543998,1.0
5456.0,1.14543998,1.0
5465.0,1.14543998,1.0
5482.0,1.14543998,3.0
5521.0,1.14543998,2.0
5534.0,1.14543998,1.0
5558.0,1.14543998,1.0
5564.0,1.14543998,2.0
5573.0,1.14543998,2.0
5574.0,1.14543998,1.0
5593.0,1.14543998,2.0
5596.0,1.14543998,1.0
5615.0,1.14543998,2.0
5626.0,1.14543998,1.0
5629.0,1.14543998,1.0
5636.0,1.14543998,1.0
5639.0,1.14543998,1.0
5646.0,1.14543998,1.0
5652.0,1.14543998,1.0
5660.0,1.14543998,1.0
5663.0,1.14543998,1.0
5666.0,1.14543998,1.0
5672.0,1.14543998,1.0
5674.0,1.14543998,1.0
5698.0,1.14543998,1.0
5702.0,1.14543998,1.0
5708.0,1.14543998,1.0
5722.0,1.14543998,1.0
5728.0,1.14543998,1.0
5733.0,1.14543998,2.0
5747.0,1.14543998,1.0
5749.0,1.14543998,1.0
5767.0,1.14543998,2.0
5772.0,1.14543998,1.0
5773.0,1.14543998,1.0
5803.0,1.14543998,1.0
5805.0,1.14543998,1.0
5815.0,1.14543998,1.0
5818.0,1.14543998,1.0
5844.0,1.14543998,2.0
5848.0,1.14543998,1.0
5856.0,1.14543998,2.0
5867.0,1.14543998,3.0
5874.0,1.14543998,2.0
5893.0,1.14543998,1.0
5897.0,1.14543998,1.0
5920.0,1.14543998,1.0
5960.0,1.14543998,1.0
5967.0,1.14543998,1.0
5969.0,1.14543998,2.0
5989.0,1.14543998,1.0
5999.0,1.14543998,1.0
6009.0,1.14543998,1.0
6012.0,1.14543998,2.0
6013.0,1.14543998,2.0
6030.0,1.14543998,2.0
6050.0,1.14543998,1.0
6057.0,1.14543998,2.0
6062.0,1.14543998,1.0
6076.0,1.14543998,2.0
6095.0,1.14543998,2.0
6101.0,1.14543998,1.0
6113.0,1.14543998,1.0
6118.0,1.14543998,1.0
6131.0,1.14543998,3.0
6138.0,1.14543998,2.0
6149.0,1.14543998,1.0
6162.0,1.14543998,1.0
6177.0,1.14543998,2.0
6179.0,1.14543998,2.0
6199.0,1.14543998,1.0
6205.0,1.14543998,1.0
6215.0,1.14543998,1.0
6224.0,1.14543998,3.0
6227.0,1.14543998,1.0
6248.0,1.14543998,2.0
6249.0,1.14543998,1.0
6266.0,1.14543998,1.0
6322.0,1.14543998,1.0
6333.0,1.14543998,1.0
6334.0,1.14543998,1.0
6388.0,1.14543998,1.0
6392.0,1.14543998,2.0
6396.0,1.14543998,1.0
6398.0,1.14543998,1.0
6410.0,1.14543998,1.0
6437.0,1.14543998,1.0
6446.0,1.14543998,1.0
6456.0,1.14543998,1.0
6473.0,1.14543998,1.0
6506.0,1.14543998,2.0
6517.0,1.14543998,2.0
6525.0,1.14543998,2.0
6536.0,1.14543998,1.0
6540.0,1.14543998,1.0
6546.0,1.14543998,2.0
6592.0,1.14543998,1.0
6604.0,1.14543998,1.0
6632.0,1.14543998,2.0
6634.0,1.14543998,1.0
6636.0,1.14543998,1.0
6644.0,1.14543998,1.0
6648.0,1.14543998,1.0
6654.0,1.14543998,2.0
6657.0,1.14543998,1.0
6725.0,1.14543998,1.0
6747.0,1.14543998,2.0
6748.0,1.14543998,2.0
6757.0,1.14543998,1.0
6761.0,1.14543998,2.0
6790.0,1.14543998,1.0
6793.0,1.14543998,2.0
6794.0,1.14543998,3.0
6801.0,1.14543998,1.0
6813.0,1.14543998,1.0
6814.0,1.14543998,1.0
6834.0,1.14543998,1.0
6840.0,1.14543998,1.0
6860.0,1.14543998,1.0
6909.0,1.14543998,1.0
6911.0,1.14543998,2.0
6949.0,1.14543998,2.0
6953.0,1.14543998,2.0
6963.0,1.14543998,1.0
6969.0,1.14543998,1.0
6974.0,1.14543998,2.0
6987.0,1.14543998,1.0
6994.0,1.14543998,2.0
7007.0,1.14543998,1.0
7014.0,1.14543998,2.0
7020.0,1.14543998,1.0
7031.0,1.14543998,1.0
7042.0,1.14543998,1.0
7049.0,1.14543998,1.0
7050.0,1.14543998,1.0
7089.0,1.14543998,1.0
7145.0,1.14543998,2.0
7150.0,1.14543998,2.0
7177.0,1.14543998,2.0
7187.0,1.14543998,1.0
7189.0,1.14543998,2.0
7197.0,1.14543998,1.0
7210.0,1.14543998,1.0
7219.0,1.14543998,1.0
7221.0,1.14543998,2.0
7252.0,1.14543998,1.0
7253.0,1.14543998,2.0
7264.0,1.14543998,2.0
7275.0,1.14543998,1.0
7276.0,1.14543998,1.0
7282.0,1.14543998,1.0
7286.0,1.14543998,1.0
7300.0,1.14543998,1.0
7308.0,1.14543998,1.0
7324.0,1.14543998,2.0
7334.0,1.14543998,1.0
7335.0,1.14543998,1.0
7341.0,1.14543998,1.0
7349.0,1.14543998,3.0
7356.0,1.14543998,1.0
7366.0,1.14543998,1.0
7369.0,1.14543998,1.0
7382.0,1.14543998,1.0
7390.0,1.14543998,2.0
7406.0,1.14543998,1.0
7415.0,1.14543998,1.0
7433.0,1.14543998,1.0
7437.0,1.14543998,2.0
7452.0,1.14543998,1.0
7453.0,1.14543998,1.0
7457.0,1.14543998,1.0
7461.0,1.14543998,2.0
7466.0,1.14543998,2.0
7469.0,1.14543998,2.0
7487.0,1.14543998,2.0
7505.0,1.14543998,1.0
7514.0,1.14543998,2.0
7517.0,1.14543998,1.0
7536.0,1.14543998,1.0
7538.0,1.14543998,2.0
7565.0,1.14543998,2.0
7590.0,1.14543998,1.0
7612.0,1.14543998,1.0
7622.0,1.14543998,1.0
7623.0,1.14543998,2.0
7628.0,1.14543998,1.0
7636.0,1.14543998,1.0
7642.0,1.14543998,1.0
7667.0,1.14543998,3.0
7687.0,1.14543998,1.0
7694.0,1.14543998,1.0
7699.0,1.14543998,1.0
7714.0,1.14543998,2.0
7728.0,1.14543998,1.0
7755.0,1.14543998,1.0
7773.0,1.14543998,1.0
7776.0,1.14543998,1.0
7778.0,1.14543998,1.0
7782.0,1.14543998,1.0
7797.0,1.14543998,1.0
7806.0,1.14543998,1.0
7817.0,1.14543998,2.0
7819.0,1.14543998,1.0
7820.0,1.14543998,2.0
7831.0,1.14543998,1.0
7834.0,1.14543998,2.0
7877.0,1.14543998,1.0
7881.0,1.14543998,2.0
7901.0,1.14543998,1.0
7903.0,1.14543998,1.0
7907.0,1.14543998,2.0
7927.0,1.14543998,2.0
7928.0,1.14543998,1.0
7943.0,1.14543998,1.0
7944.0,1.14543998,2.0
7947.0,1.14543998,1.0
7957.0,1.14543998,1.0
7965.0,1.14543998,1.0
7974.0,1.14543998,2.0
7986.0,1.14543998,1.0
7990.0,1.14543998,1.0
8002.0,1.14543998,1.0
